task_id,type,category,priority,screen_id,route,page_entry,depends_on,requirements_covered,verify,file,wave_id
CMP-SCR003-HOTEL-FORM,component,COMPONENT,P0,SCR-003,`/travel-tools`,`src/components/scr003/HotelForm.tsx`,CMP-SCR003-INTRO-TABS-SHELL;SHARED-EXTERNAL-LINK-GUARD,REQ-FUNC-019;REQ-FUNC-020;REQ-FUNC-021;REQ-FUNC-022;REQ-FUNC-023;REQ-FUNC-024;REQ-FUNC-025;REQ-FUNC-026;REQ-NF-017,"UNIT-TRAVEL-DATES, E2E-TRAVEL-TOOLS",TASKS/TASK-CMP-SCR003-HOTEL-FORM.md,W07
CMP-SCR003-INTRO-TABS-SHELL,component,COMPONENT,P0,SCR-003,`/travel-tools`,`src/components/scr003/IntroTabsShell.tsx`,SHARED-UI-KIT-PRIMITIVES,REQ-FUNC-011;REQ-FUNC-019;REQ-FUNC-031,E2E-TRAVEL-TOOLS,TASKS/TASK-CMP-SCR003-INTRO-TABS-SHELL.md,W07
CMP-SCR003-MATE-WRITE-FORM,component,COMPONENT,P0,SCR-003,`/travel-tools`,`src/components/scr003/MateWriteForm.tsx`,CMP-SCR003-INTRO-TABS-SHELL;DB-ACCESS;DATA-POLICY-PAGES,REQ-FUNC-027;REQ-FUNC-028;REQ-FUNC-029;REQ-FUNC-031;REQ-FUNC-032;REQ-FUNC-054;REQ-FUNC-080,"UNIT-CONTACT-DETECTION, E2E-TRAVEL-TOOLS",TASKS/TASK-CMP-SCR003-MATE-WRITE-FORM.md,W07
CMP-SCR003-TIPS-SAFETY-CTA,component,COMPONENT,P2,SCR-003,`/travel-tools`,`src/components/scr003/TipsSafetyCta.tsx`,SHARED-UI-KIT-PRIMITIVES,REQ-FUNC-054,E2E-TRAVEL-TOOLS,TASKS/TASK-CMP-SCR003-TIPS-SAFETY-CTA.md,W07
CMP-SCR004-CARD-GRID,component,COMPONENT,P0,SCR-004,`/mates`,`src/components/scr004/MateCardGrid.tsx`,API-MATES-ROUTES;CMP-SCR004-FILTER-SUMMARY,REQ-FUNC-033;REQ-FUNC-037,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR004-CARD-GRID.md,W08
CMP-SCR004-DETAIL-PANEL,component,COMPONENT,P0,SCR-004,`/mates`,`src/components/scr004/MateDetailPanel.tsx`,API-MATES-ROUTES;SHARED-SHARE-UTIL,REQ-FUNC-033,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR004-DETAIL-PANEL.md,W08
CMP-SCR004-FILTER-SUMMARY,component,COMPONENT,P0,SCR-004,`/mates`,`src/components/scr004/FilterSummary.tsx`,API-MATES-ROUTES,REQ-FUNC-030,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR004-FILTER-SUMMARY.md,W08
CMP-SCR004-INTRO-CTA,component,COMPONENT,P2,SCR-004,`/mates`,`src/components/scr004/IntroCta.tsx`,SHARED-UI-KIT-PRIMITIVES,,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR004-INTRO-CTA.md,W08
CMP-SCR004-PARTICIPATION-REQUEST,component,COMPONENT,P0,SCR-004,`/mates`,`src/components/scr004/ParticipationRequestForm.tsx`,API-MATES-ROUTES;CMP-SCR004-DETAIL-PANEL,REQ-FUNC-034;REQ-FUNC-035;REQ-NF-019,"UNIT-MATE-STATE, E2E-MATE-AUTH",TASKS/TASK-CMP-SCR004-PARTICIPATION-REQUEST.md,W08
CMP-SCR004-REPORT-BLOCK-ACTIONS,component,COMPONENT,P0,SCR-004,`/mates`,`src/components/scr004/ReportBlockActions.tsx`,API-MATES-ROUTES;SHARED-TOAST-NOTIFICATIONS,REQ-FUNC-039;REQ-FUNC-040,E2E-MATE-AUTH,TASKS/TASK-CMP-SCR004-REPORT-BLOCK-ACTIONS.md,W08
CMP-SCR005-ADMIN,component,COMPONENT,P0,SCR-005,`/account`,`src/components/scr005/AdminTabs.tsx`,API-ADMIN-ROUTES,REQ-FUNC-041;REQ-FUNC-042;REQ-FUNC-062;REQ-FUNC-077,"TEST-RLS-BASIC, E2E-MATE-AUTH",TASKS/TASK-CMP-SCR005-ADMIN.md,W09
CMP-SCR005-AUTH-GUEST,component,COMPONENT,P0,SCR-005,`/account`,`src/components/scr005/AuthGuest.tsx`,DB-ACCESS,REQ-FUNC-027;REQ-FUNC-066,E2E-MATE-AUTH,TASKS/TASK-CMP-SCR005-AUTH-GUEST.md,W09
CMP-SCR005-MY-ACTIVITY-BLOCKS-FAVORITES,component,COMPONENT,P1,SCR-005,`/account`,`src/components/scr005/BlocksFavoritesTab.tsx`,API-MATES-ROUTES;SHARED-FAVORITES-STORE,REQ-FUNC-040;REQ-FUNC-068,E2E-MATE-AUTH,TASKS/TASK-CMP-SCR005-MY-ACTIVITY-BLOCKS-FAVORITES.md,W09
CMP-SCR005-MY-ACTIVITY-POSTS,component,COMPONENT,P0,SCR-005,`/account`,`src/components/scr005/MyActivityPosts.tsx`,API-MATES-ROUTES,REQ-FUNC-036;REQ-FUNC-038,"UNIT-MATE-STATE, E2E-MATE-AUTH",TASKS/TASK-CMP-SCR005-MY-ACTIVITY-POSTS.md,W09
CMP-SCR005-PROFILE,component,COMPONENT,P0,SCR-005,`/account`,`src/components/scr005/ProfileTab.tsx`,DB-ACCESS,REQ-FUNC-028;REQ-FUNC-029,E2E-MATE-AUTH,TASKS/TASK-CMP-SCR005-PROFILE.md,W09
DATA-ABOUT-PROFILE,data,DATA,P1,SCR-002,,`src/data/about.ts`,,REQ-FUNC-057;REQ-FUNC-058;REQ-FUNC-059;REQ-FUNC-060;REQ-FUNC-061;REQ-FUNC-063,RELEASE-CHECK-CONTENT-COMPLETENESS,TASKS/TASK-DATA-ABOUT-PROFILE.md,W01
DATA-COUNTRY-SAFETY,data,DATA,P0,SCR-001,,`src/data/safety.ts`,,REQ-FUNC-046;REQ-FUNC-047;REQ-FUNC-048;REQ-FUNC-049;REQ-FUNC-050;REQ-FUNC-051;REQ-FUNC-052;REQ-FUNC-053;REQ-NF-027;REQ-NF-028,RELEASE-CHECK-CONTENT-COMPLETENESS,TASKS/TASK-DATA-COUNTRY-SAFETY.md,W01
DATA-DESTINATIONS-DOMESTIC,data,DATA,P0,SCR-001,,`src/data/destinations.domestic.ts`,,REQ-FUNC-001;REQ-FUNC-004;REQ-FUNC-007;REQ-FUNC-008;REQ-NF-026,RELEASE-CHECK-CONTENT-COMPLETENESS,TASKS/TASK-DATA-DESTINATIONS-DOMESTIC.md,W01
DATA-DESTINATIONS-OVERSEAS,data,DATA,P0,SCR-001,,`src/data/destinations.overseas.ts`,,REQ-FUNC-001;REQ-FUNC-004;REQ-FUNC-007;REQ-FUNC-008;REQ-NF-026,RELEASE-CHECK-CONTENT-COMPLETENESS,TASKS/TASK-DATA-DESTINATIONS-OVERSEAS.md,W01
DATA-POLICY-PAGES,data,DATA,P1,SCR-003,,`src/data/policies.ts`,,REQ-FUNC-080,RELEASE-CHECK-CONTENT-COMPLETENESS,TASKS/TASK-DATA-POLICY-PAGES.md,W01
DB-ACCESS,db,DB,P0,,,"`src/lib/db/client.ts`, `src/lib/db/queries.ts`",DB-SCHEMA-BASE;DB-RLS-BASE,REQ-NF-014;REQ-NF-015;REQ-NF-017,UNIT-MATE-STATE,TASKS/TASK-DB-ACCESS.md,W03
DB-RLS-BASE,db,DB,P0,,,`supabase/migrations/0002_rls.sql`,DB-SCHEMA-BASE,REQ-FUNC-044;REQ-NF-013,TEST-RLS-BASIC,TASKS/TASK-DB-RLS-BASE.md,W03
DB-SCHEMA-BASE,db,DB,P0,,,`supabase/migrations/0001_schema.sql`,,REQ-FUNC-028;REQ-FUNC-029;REQ-FUNC-030;REQ-FUNC-031;REQ-FUNC-034;REQ-FUNC-035;REQ-FUNC-036;REQ-FUNC-037;REQ-FUNC-038;REQ-FUNC-039;REQ-FUNC-040;REQ-FUNC-041;REQ-FUNC-042;REQ-FUNC-043;REQ-FUNC-077,TEST-RLS-BASIC,TASKS/TASK-DB-SCHEMA-BASE.md,W03
DB-SEED-BASE,db,DB,P1,,,`supabase/seed.sql`,DB-SCHEMA-BASE,,E2E-MATE-AUTH,TASKS/TASK-DB-SEED-BASE.md,W03
E2E-MATE-AUTH,test,E2E_TEST,P0,,,`tests/e2e/mateAuth.spec.ts`,PO-SCR-004;PO-SCR-005;DB-SEED-BASE,REQ-FUNC-034;REQ-FUNC-036;REQ-FUNC-039;REQ-FUNC-040,수동 실행 결과 확인,TASKS/TASK-E2E-MATE-AUTH.md,W10
E2E-PUBLIC-SMOKE,test,E2E_TEST,P0,,,`tests/e2e/publicSmoke.spec.ts`,PO-SCR-001;PO-SCR-002;PO-SCR-004,REQ-NF-025,수동 실행 결과 확인,TASKS/TASK-E2E-PUBLIC-SMOKE.md,W10
E2E-TRAVEL-TOOLS,test,E2E_TEST,P0,SCR-003,,`tests/e2e/travelTools.spec.ts`,PO-SCR-003,REQ-FUNC-014;REQ-FUNC-022;REQ-FUNC-031,수동 실행 결과 확인,TASKS/TASK-E2E-TRAVEL-TOOLS.md,W10
MANUAL-CHECK-A11Y-KEYBOARD,manual_check,MANUAL_CHECK,P1,,,N/A(체크리스트 문서),SHARED-UI-KIT-PRIMITIVES,REQ-FUNC-079;REQ-NF-023;REQ-NF-025,수동 QA 체크리스트,TASKS/TASK-MANUAL-CHECK-A11Y-KEYBOARD.md,W10
MANUAL-CHECK-EXTERNAL-LINKS,manual_check,MANUAL_CHECK,P1,,,N/A(체크리스트 문서),SHARED-EXTERNAL-LINK-GUARD,REQ-FUNC-016;REQ-FUNC-018;REQ-FUNC-024;REQ-FUNC-026;REQ-FUNC-049,수동 QA 체크리스트,TASKS/TASK-MANUAL-CHECK-EXTERNAL-LINKS.md,W10
MANUAL-CHECK-RESPONSIVE,manual_check,MANUAL_CHECK,P1,,,N/A(체크리스트 문서),SHARED-LAYOUT-HEADER-FOOTER,REQ-FUNC-065;REQ-NF-006,수동 QA 체크리스트,TASKS/TASK-MANUAL-CHECK-RESPONSIVE.md,W11
PO-SCR-001,page_owner,PAGE_OWNER,P0,SCR-001,`/`,`src/app/page.tsx`,SHARED-LAYOUT-HEADER-FOOTER;CMP-SCR001-HERO;CMP-SCR001-DOMESTIC-DEST-CARDS;CMP-SCR001-OVERSEAS-DEST-CARDS;CMP-SCR001-THEME-MOTIVATION-CHIPS;CMP-SCR001-SAFETY-PREVIEW-CARDS;CMP-SCR001-RECENT-MATE-CARDS;CMP-SCR001-DEST-DETAIL-DRAWER,REQ-FUNC-001;REQ-FUNC-002;REQ-FUNC-003;REQ-FUNC-004;REQ-FUNC-005;REQ-FUNC-006;REQ-FUNC-007;REQ-FUNC-008;REQ-FUNC-009;REQ-FUNC-010;REQ-FUNC-046;REQ-FUNC-047;REQ-FUNC-048;REQ-FUNC-049;REQ-FUNC-050;REQ-FUNC-051;REQ-FUNC-052;REQ-FUNC-053;REQ-FUNC-054;REQ-FUNC-067;REQ-FUNC-068;REQ-FUNC-069,"E2E-PUBLIC-SMOKE, MANUAL-CHECK-RESPONSIVE",TASKS/TASK-PO-SCR-001.md,W05
PO-SCR-002,page_owner,PAGE_OWNER,P1,SCR-002,`/about`,`src/app/about/page.tsx`,SHARED-LAYOUT-HEADER-FOOTER;CMP-SCR002-HERO-STATS;CMP-SCR002-RECOMMENDED-GRID;CMP-SCR002-COUNTRY-CHIPS;CMP-SCR002-TIMELINE;CMP-SCR002-GALLERY;CMP-SCR002-PHILOSOPHY-CHECKLIST,REQ-FUNC-057;REQ-FUNC-058;REQ-FUNC-059;REQ-FUNC-060;REQ-FUNC-061;REQ-FUNC-062;REQ-FUNC-063,E2E-PUBLIC-SMOKE,TASKS/TASK-PO-SCR-002.md,W06
PO-SCR-003,page_owner,PAGE_OWNER,P0,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,SHARED-LAYOUT-HEADER-FOOTER;CMP-SCR003-INTRO-TABS-SHELL;CMP-SCR003-FLIGHT-FORM;CMP-SCR003-HOTEL-FORM;CMP-SCR003-MATE-WRITE-FORM;CMP-SCR003-TIPS-SAFETY-CTA,REQ-FUNC-011;REQ-FUNC-012;REQ-FUNC-013;REQ-FUNC-014;REQ-FUNC-015;REQ-FUNC-016;REQ-FUNC-017;REQ-FUNC-018;REQ-FUNC-019;REQ-FUNC-020;REQ-FUNC-021;REQ-FUNC-022;REQ-FUNC-023;REQ-FUNC-024;REQ-FUNC-025;REQ-FUNC-026;REQ-FUNC-027;REQ-FUNC-031;REQ-FUNC-032;REQ-FUNC-054;REQ-FUNC-080,E2E-TRAVEL-TOOLS,TASKS/TASK-PO-SCR-003.md,W07
PO-SCR-004,page_owner,PAGE_OWNER,P0,SCR-004,`/mates`,`src/app/mates/page.tsx`,SHARED-LAYOUT-HEADER-FOOTER;CMP-SCR004-INTRO-CTA;CMP-SCR004-FILTER-SUMMARY;CMP-SCR004-CARD-GRID;CMP-SCR004-DETAIL-PANEL;CMP-SCR004-PARTICIPATION-REQUEST;CMP-SCR004-REPORT-BLOCK-ACTIONS,REQ-FUNC-030;REQ-FUNC-033;REQ-FUNC-034;REQ-FUNC-035;REQ-FUNC-037;REQ-FUNC-039;REQ-FUNC-040;REQ-NF-019,E2E-MATE-AUTH,TASKS/TASK-PO-SCR-004.md,W08
PO-SCR-005,page_owner,PAGE_OWNER,P0,SCR-005,`/account`,`src/app/account/page.tsx`,SHARED-LAYOUT-HEADER-FOOTER;CMP-SCR005-AUTH-GUEST;CMP-SCR005-PROFILE;CMP-SCR005-MY-ACTIVITY-POSTS;CMP-SCR005-MY-ACTIVITY-BLOCKS-FAVORITES;CMP-SCR005-ADMIN,REQ-FUNC-027;REQ-FUNC-028;REQ-FUNC-029;REQ-FUNC-036;REQ-FUNC-038;REQ-FUNC-040;REQ-FUNC-041;REQ-FUNC-042;REQ-FUNC-062;REQ-FUNC-066;REQ-FUNC-068;REQ-FUNC-077,E2E-MATE-AUTH,TASKS/TASK-PO-SCR-005.md,W09
RELEASE-CHECK-CONTENT-COMPLETENESS,release_check,RELEASE_CHECK,P0,SCR-001,,N/A(체크리스트 문서),DATA-DESTINATIONS-DOMESTIC;DATA-DESTINATIONS-OVERSEAS;DATA-COUNTRY-SAFETY,REQ-FUNC-008;REQ-NF-026;REQ-NF-027,수동 배포 전 체크리스트,TASKS/TASK-RELEASE-CHECK-CONTENT-COMPLETENESS.md,W12
RELEASE-CHECK-DEPLOY-ENV,release_check,RELEASE_CHECK,P0,,,N/A(체크리스트 문서),CI-LINT-TYPECHECK,REQ-NF-012;REQ-NF-016;REQ-NF-034,수동 배포 전 체크리스트,TASKS/TASK-RELEASE-CHECK-DEPLOY-ENV.md,W12
SHARED-ERROR-BOUNDARY,shared,SHARED,P1,,,"`src/app/not-found.tsx`, `src/app/error.tsx`",SHARED-UI-KIT-PRIMITIVES,REQ-FUNC-078,E2E-PUBLIC-SMOKE,TASKS/TASK-SHARED-ERROR-BOUNDARY.md,W02
SHARED-EXTERNAL-LINK-GUARD,shared,SHARED,P0,,,`src/lib/externalLink.ts`,,REQ-FUNC-016;REQ-FUNC-018;REQ-FUNC-024;REQ-FUNC-026;REQ-FUNC-049,MANUAL-CHECK-EXTERNAL-LINKS,TASKS/TASK-SHARED-EXTERNAL-LINK-GUARD.md,W01
SHARED-FAVORITES-STORE,shared,SHARED,P1,,,`src/lib/favorites.ts`,,REQ-FUNC-068,UNIT-MATE-STATE(재사용),TASKS/TASK-SHARED-FAVORITES-STORE.md,W01
SHARED-LAYOUT-HEADER-FOOTER,shared,SHARED,P0,,,"`src/components/shared/Header.tsx`, `src/components/shared/Footer.tsx`",,REQ-FUNC-064;REQ-FUNC-065;REQ-NF-006,MANUAL-CHECK-RESPONSIVE,TASKS/TASK-SHARED-LAYOUT-HEADER-FOOTER.md,W02
SHARED-SEO-METADATA,shared,SHARED,P1,,,`src/lib/seo.ts`,,REQ-FUNC-070;REQ-NF-030,RELEASE-CHECK-CONTENT-COMPLETENESS,TASKS/TASK-SHARED-SEO-METADATA.md,W02
SHARED-SHARE-UTIL,shared,SHARED,P2,,,`src/lib/share.ts`,,REQ-FUNC-069,E2E-PUBLIC-SMOKE,TASKS/TASK-SHARED-SHARE-UTIL.md,W02
SHARED-TOAST-NOTIFICATIONS,shared,SHARED,P1,,,`src/components/ui/Toast.tsx`,SHARED-UI-KIT-PRIMITIVES,REQ-FUNC-043,E2E-MATE-AUTH,TASKS/TASK-SHARED-TOAST-NOTIFICATIONS.md,W02
SHARED-UI-KIT-PRIMITIVES,shared,SHARED,P0,,,`src/components/ui/*.tsx`,,REQ-FUNC-079;REQ-NF-023,MANUAL-CHECK-A11Y-KEYBOARD,TASKS/TASK-SHARED-UI-KIT-PRIMITIVES.md,W02
TEST-RLS-BASIC,test,INTEGRATION_TEST,P0,,,`tests/unit/rlsBasic.test.ts`,DB-SCHEMA-BASE;DB-RLS-BASE,REQ-FUNC-044;REQ-NF-013,`npm test`(CI),TASKS/TASK-TEST-RLS-BASIC.md,W11
UNIT-CONTACT-DETECTION,test,UNIT_TEST,P0,SCR-003,,`tests/unit/contactDetection.test.ts`,CMP-SCR003-MATE-WRITE-FORM,REQ-FUNC-032,`npm test`(CI),TASKS/TASK-UNIT-CONTACT-DETECTION.md,W11
UNIT-MATE-STATE,test,UNIT_TEST,P0,,,`tests/unit/mateState.test.ts`,DB-ACCESS;API-MATES-ROUTES,REQ-FUNC-035;REQ-FUNC-036;REQ-FUNC-037,`npm test`(CI),TASKS/TASK-UNIT-MATE-STATE.md,W11
UNIT-TRAVEL-DATES,test,UNIT_TEST,P0,SCR-003,,`tests/unit/travelDates.test.ts`,CMP-SCR003-FLIGHT-FORM;CMP-SCR003-HOTEL-FORM,REQ-FUNC-013;REQ-FUNC-021,`npm test`(CI),TASKS/TASK-UNIT-TRAVEL-DATES.md,W11
